date,industry,unemployment_rate,tariff_rate,post_treatment,lobbying_index
2010-01-01,Manufacturing,13,2,0,9.5
2010-02-01,Manufacturing,12.1,2,0,9.5
2010-03-01,Manufacturing,12.6,2,0,9.5
2010-04-01,Manufacturing,11.1,2,0,9.5
2010-05-01,Manufacturing,10.3,2,0,9.5
2010-06-01,Manufacturing,9.9,2,0,9.5
2010-07-01,Manufacturing,10,2,0,9.5
2010-08-01,Manufacturing,9.5,2,0,9.5
2010-09-01,Manufacturing,9.6,2,0,9.5
2010-10-01,Manufacturing,9.5,2,0,9.5
2010-11-01,Manufacturing,9.9,2,0,9.5
2010-12-01,Manufacturing,10,2,0,9.5
2011-01-01,Manufacturing,9.9,2,0,9.5
2011-02-01,Manufacturing,9.9,2,0,9.5
2011-03-01,Manufacturing,9.7,2,0,9.5
2011-04-01,Manufacturing,9.4,2,0,9.5
2011-05-01,Manufacturing,9.6,2,0,9.5
2011-06-01,Manufacturing,9.2,2,0,9.5
2011-07-01,Manufacturing,9.2,2,0,9.5
2011-08-01,Manufacturing,8.9,2,0,9.5
2011-09-01,Manufacturing,8.4,2,0,9.5
2011-10-01,Manufacturing,7.7,2,0,9.5
2011-11-01,Manufacturing,7.7,2,0,9.5
2011-12-01,Manufacturing,7.9,2,0,9.5
2012-01-01,Manufacturing,8.4,2,0,9.5
2012-02-01,Manufacturing,8.4,2,0,9.5
2012-03-01,Manufacturing,7.6,2,0,9.5
2012-04-01,Manufacturing,6.9,2,0,9.5
2012-05-01,Manufacturing,7.1,2,0,9.5
2012-06-01,Manufacturing,6.9,2,0,9.5
2012-07-01,Manufacturing,7.2,2,0,9.5
2012-08-01,Manufacturing,7.3,2,0,9.5
2012-09-01,Manufacturing,6.7,2,0,9.5
2012-10-01,Manufacturing,7,2,0,9.5
2012-11-01,Manufacturing,6.4,2,0,9.5
2012-12-01,Manufacturing,7.5,2,0,9.5
2013-01-01,Manufacturing,7.9,2,0,9.5
2013-02-01,Manufacturing,7.2,2,0,9.5
2013-03-01,Manufacturing,6.4,2,0,9.5
2013-04-01,Manufacturing,6.4,2,0,9.5
2013-05-01,Manufacturing,6.8,2,0,9.5
2013-06-01,Manufacturing,6.4,2,0,9.5
2013-07-01,Manufacturing,6.9,2,0,9.5
2013-08-01,Manufacturing,6.2,2,0,9.5
2013-09-01,Manufacturing,6.9,2,0,9.5
2013-10-01,Manufacturing,6.2,2,0,9.5
2013-11-01,Manufacturing,6.2,2,0,9.5
2013-12-01,Manufacturing,5.5,2,0,9.5
2014-01-01,Manufacturing,5.6,2,0,9.5
2014-02-01,Manufacturing,5.5,2,0,9.5
2014-03-01,Manufacturing,5.4,2,0,9.5
2014-04-01,Manufacturing,5.2,2,0,9.5
2014-05-01,Manufacturing,5.3,2,0,9.5
2014-06-01,Manufacturing,4.4,2,0,9.5
2014-07-01,Manufacturing,5.2,2,0,9.5
2014-08-01,Manufacturing,5,2,0,9.5
2014-09-01,Manufacturing,4.5,2,0,9.5
2014-10-01,Manufacturing,4.3,2,0,9.5
